Nr. Crt;Categorie;Compania;Brand;Denumirea promotiei;Data Start;Data Sfarsit;Durata zile;Durata luni;Slogan;Mecanism;Tip promotie;Validare; Valoare Premii ;Premii;Masina;Excursie;Instant;Zilnice;Saptamanale/ Lunare;La sfarsit de campanie;SMS;Website;APP;Facebook;Whatsapp;Clip YOUTUBE;Instagram;;
146;Drinks;Coca-Cola HBC Romania SRL;Cola;Bucur?-te de gustul Cr?ciunului al?turi de Coca Cola;01.12.2020;31.12.2020;31;1;Bucur?-te de gustul Cr?ciunului al?turi de Coca Cola;Sa achizitioneze minim un produs participant;Buy & send;Formular contact;46450;Voucher Profi, Combina frigorifica, cuptor incorporabil Arctic+Plita incorporbila;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
147;Drinks;Coca-Cola HBC Romania SRL;Cola;Activare Coca Cola Christmas ;01.12.2020;31.12.2020;31;1;Activare Coca Cola Christmas ;Sa achizitioneze minim un produs participant;Buy & send;Formular contact;9933.33;Voucher Fashion Days, Emag, Sport Guru, Best Travel;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
148;Food;Caroli Foods Group SRL;Sissi;FiiNobil cu Sissi;22.12.2020;31.01.2021;40;2;FiiNobil cu Sissi;"achizitionarea produselor marca SISSI participante în Campanie; participantii au obligatia sa pastreze bonurile fiscale sau facturile fiscale inscrise in concurs pentru validare in caz de castigare a unui premiu";Buy & send;Formular contact;1005.4;Co? cu produse Sissi;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
149;Cleaning;S.C. UNILEVER SOUTH CENTRAL EUROPE S.A.;Dove;„Daruieste frumusete” in Cora;03.12.2020;24.12.2020;21;1;„Daruieste frumusete” in Cora;Consumatorii care indeplinesc conditia de participare achizitionand produse participante din magazinele Cora se vor putea inscrie online la tragerea la sorti pe intreaga durata a Campaniei, completand campurile obligatorii din formularul de inscriere disponibil pe www.unilevertepremiaza.ro,;Buy & send;Formular contact;1,957.89;sistem audio, Bluetooth, 1 microfon profesional;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
150;Cleaning;S.C. UNILEVER SOUTH CENTRAL EUROPE S.A.;Dero;„Sarbatorim impreuna cu premii DE ROmania”;26.11.2020;02.12.2020;6;2;„Sarbatorim impreuna cu premii DE ROmania”;achizitionarea de produse participante, in perioada 26.11.2020 – 02.12.2020, in valoare cumulata de minimum 50 de lei pe acelasi bon fiscal;Buy;pe loc;45,000.00;Voucher de 15 lei;Nu;Nu;Da;Nu;Nu;Nu;Nu;Nu;Nu;Nu;Nu;Nu;Nu;;
151;Food;S.C. UNILEVER SOUTH CENTRAL EUROPE S.A.;MTB;“Sarbatori pe toate gusturile”;03.12.2020;16.12.2020;13;1;“Sarbatori pe toate gusturile”;achizitionarea a minimum doua produse participante, pe durata Campaniei, in valoare cumulata de minimum 15 lei pe acelasi bon fiscal/ pe aceeasi factura;Buy & send;Formular contact;10,738.00;voucher valoric Carrefour, Slow coocker,pachet cu produse unilever, ;Nu;Nu;Nu;Nu;Da;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
152;Cleaning;S.C. UNILEVER SOUTH CENTRAL EUROPE S.A.;Dove;“Alege ingrijirea Dove Men+Care”;18.11.2020;24.11.2020;6;1;“Alege ingrijirea Dove Men+Care”;cumpararea din magazinele participante Cora Hypermarket, pe durata Campaniei, a oricaror doua produse din gama Dove Men+Care, cu exceptia sapunului solid, pe acelasi bon fiscal;Buy & send;Formular contact;1,793.00;Boxa portabila, ceas smart, bratara electronica;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
153;Cleaning;S.C. UNILEVER SOUTH CENTRAL EUROPE S.A.;MTB;„Sustine dreptul la toalete si castiga premii pentru casa ta!”;05.11.2020;18.11.2020;13;1;„Sustine dreptul la toalete si castiga premii pentru casa ta!”;achizitionarea, pe durata Campaniei, a oricaror produse participante in valoare cumulata de minimum 25 de lei pe acelasi bon fiscal;Buy & send;Formular contact;22,783.40;aspirator vertical cu abur Rowenta, covor dezinfectant;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
154;Cleaning;S.C. UNILEVER SOUTH CENTRAL EUROPE S.A.;Cif;“Castiga cu noul Cif Dezinfectant fara clor”;05.11.2020;18.11.2020;13;1;“Castiga cu noul Cif Dezinfectant fara clor”;achizitionarea oricarui produs Cif Disinfect & Shine, pe durata Campaniei, din oricare magazin participant;Buy & send;Formular contact;11,540.00;aspirator smart (robot), umidificator de aer;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
155;Cleaning;S.C. UNILEVER SOUTH CENTRAL EUROPE S.A.;Plant Line;“Stiinta frumusetii naturale Plant Line!”;28.10.2020;10.11.2020;13;2;“Stiinta frumusetii naturale Plant Line!”;achizitionand oricare produs Plant Line participant din magazinele Cora Hypermarket din Romania sau care cumpara online pe www.cora.ro se vor putea inscrie online la tragerea la sorti pe intreaga durata a Campaniei, completand campurile obligatorii din formularul de inscriere disponibil pe www.unilevertepremiaza.ro,;Buy & send;Formular contact;4,653.80;dispozitiv difuzor de aromaterapie, bon valoric, cos de produse;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
156;Cleaning;S.C. UNILEVER SOUTH CENTRAL EUROPE S.A.;Dove;“Frumusetea inseamna grija pentru tine si ceilalti!”;28.10.2020;17.11.2020;20;2;“Frumusetea inseamna grija pentru tine si ceilalti!”;e achizitionarea oricaror doua produse Dove - cu exceptia produsului Dove sapun solid, pe acelasi bon fiscal, pe durata Campaniei, din oricare magazin participant;Buy & send;Formular contact;4.545;bon valoric / voucher cu valoare nominala de 250 de lei, „pachet de rasfat” ce contine produse Dove;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
157;Cleaning;S.C. UNILEVER SOUTH CENTRAL EUROPE S.A.;Dero;“Dero Protect”;02.09.2020;29.09.2020;27;1;“Dero Protect”;e achizitionarea oricarui produs DERO Protect, pe durata Campaniei, din oricare magazin participant;Buy & send;Formular contact;8,558.20;bicicleta Pegas, smartphone, ;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
158;Food;S.C. UNILEVER SOUTH CENTRAL EUROPE S.A.;Magnum;“Descopera noua experienta a ciocolatei”;01.06.2020;31.07.2020;61;2;“Descopera noua experienta a ciocolatei”;cumpararea din statiile participante OMV a oricarui produs participant (inghetata Magnum);Buy;Formular contact;19,346.87;Telefon mobil, Casti bluetooth;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
159;Food;S.C. UNILEVER SOUTH CENTRAL EUROPE S.A.;MTB;“Vara ta, povestea ta!”;01.06.2020;31.07.2020;61;2;“Vara ta, povestea ta!”;cumpararea din statiile participante Petrom a oricarui produs participant.;Buy;Formular contact;9,999.90;voucher de vacanta in Romania, boxa portabila;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
160;Food;INTERSNACK ROMANIA S.R.L;Chio;"""CASTIGA PREMII ELECTRIZANTE!""";04.01.2021;31.03.2021;86;3;"""CASTIGA PREMII ELECTRIZANTE!""";e sa achizitioneze orice Produs participant care are tiparit pe ambalaj un cod promotional unic si sa inscrie in Campanie, in perioada 4 ianuarie 2021, ora 00:00 si 31 martie 2021, ora 23:59 (inclusiv), prin transmiterea codului unic promotional format din 14 caractere alfanumerice descoperit pe ambalajul produsului participant achizitionat prin intermediul site-ului www.chio.ro sau prin transmierea unui SMS la nr 1837;Buy & send;Bon fiscal+ Formular de contact;253,921;"Boxa	JBL	Pulse, ma?in? MiniCooper";Da;Nu;Nu;Nu;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
161;Drinks;BERGENBIER S.A;Becks;Tr?ie?te a?a cum sim?i!;01.08.2020;31.08.2020;31;1;Tr?ie?te a?a cum sim?i!;achizi?ionare de minim 15 lei a unui produs Becks pe un bon fiscal;Buy & send;Formular contact;25000;Voucher Emag;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
162;Petrol;Rompetrol Downstream S.R.L;Rompetrol;La Rompetrol fiecare ora de iarna e castigatoare!;01.12.2020;31.01.2021;62;2;La Rompetrol fiecare ora de iarna e castigatoare!;trebuie sa încarce benzin? sau sa achizitioneze produse din benzinarie de minim 100 Ron;Buy & send;Bon fiscal+ Formular de contact;487,842.14;Expressor, Bicicleta, Tableta, Voucher HBO Go;Nu;Nu;Nu;Nu;Nu;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
163;Drinks;Societatea ALEXANDRION TRADING S.R.L;Alexandrion;“Traieste momente calde impreuna cu Alexandrion Hot!;11.12.2020;28.02.2021;88;3;“Traieste momente calde impreuna cu Alexandrion Hot!;Participantul trebuie sa achizitioneaza in Perioada Campaniei minimum un Produs Participant din lista prevazut;Buy & send;Bon fiscal+ Formular de contact;124,084.10;"2 cani Alexandrion
Hot + 1 sticla de Alexandrion 7* de 0,7l , drona, 17500
Euro";Nu;Nu;Nu;Da;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
164;Drinks;Societatea ALEXANDRION TRADING S.R.L;Alexandrion;Castiga salariul pe un an cu vinurile The Iconic Estate;01.12.2020;31.01.2021;62;2;Castiga salariul pe un an cu vinurile The Iconic Estate;Participantul trebuie sa achizitioneze in Perioada Campaniei minimum un Produs Participant din lista prevazuta;Buy & send;Bon fiscal+ Formular de contact;56.041;"o cutie cu 6 sticle de
vin Byzantium (2 x Byzantium Blanc, 2x
Byzantium Rose, 2 x Byzantium Rosso), un sejur de
weekend complet pentru doua persoane la
Pensiunea Rhein de la Azuga, un salariu mediu net
pe economie pe un an";Nu;Nu;Nu;Da;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
165;Food;Star Foods EM SRL;Star;Distractie in orice forma in Carrefour Market;14.01.2021;10.02.2021;27;2;Distractie in orice forma in Carrefour Market;Participantul trebuie sa achizitioneze minim 2 produse participante;Buy & send;Bon fiscal+ Formular de contact;17,199.97;Monociclu electric, laptop ultraportabil;Nu;Nu;Nu;Nu;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
166;Food;S.C Dr. Oetker RO SRL;Dr. Oetker;Guseppe. Cuptor. Actiune!;04.01.2021;14.03.2021;69;3;Guseppe. Cuptor. Actiune!;Participantul trebuie sa achizitioneze minimum un Produs Participant din gama Pizza Guseppe in perioada Campaniei si sa poata face dovada de achiziti;Buy & send;Bon fiscal+ Formular de contact;40,729.20;Sistem Home Cinema, Casti Sony, Videoproiector portabil;Nu;Nu;Da;Nu;Nu;Nu;Da;Da;Nu;Nu;Nu;Nu;Nu;;
167;Food;FERRERO ROMANIA S.R.L;Kinder Maxi;Castiga Maxi cu semne de iubire;15.01.2021;15.02.2021;31;2;Castiga Maxi cu semne de iubire;sa achizitioneze,rn Perioada Campaniei, mai precis in oricare zi din perioada 15.01.2021 (ora l0:00:00, ora Romaniei) - 15.02.2021 (ora23:59:59, inclusiv, ora Romaniei), unul sau mai multe Produse participante la Campanie specificate pe acelasi bon fiscal/ aceeasi factura fiscala;Buy & send;Bon fiscal+ Formular de contact;73.091008;Un set de 2 telefoane Iphone , Un set de 2 bratari Fitbit;Nu;Nu;Nu;Nu;Nu;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
168;Food;Hochland Romania SRL;Hochland;Castiga premii ce iti umplu casa de voie buna, in fiecare zi si in fiecare saptamana ;18.01.2021;28.02.2021;41;2;Castiga premii ce iti umplu casa de voie buna, in fiecare zi si in fiecare saptamana ;sa achizitioneze cel putin un Produs Participant, in Perioada Campaniei, respectiv 18 ianuarie 2021, ora 00:00:00 - 28 februarie 2021, respectand conditiile de la Sectiunea 4;Buy & send;Bon fiscal+ Formular de contact;998,478;Tableta Samsung Galaxy Tab A, Espressor Nespresso Pixie Red, Boxa portabila JBL, Telefon Apple iPhone 12;Nu;Nu;Da;Da;Da;Nu;Da;Da;Nu;Nu;Nu;Nu;Nu;;
169;Drinks;URSUS BREWERIES SA;Ciucas;Hai la un joc de table in Poiana Ciucas;26.01.2021;14.03.2021;47;3;Hai la un joc de table in Poiana Ciucas;trebuie sa inregistreze bonul fiscal pe website;Buy & send;Formular contact;9,794;rucsac Ciucas, joc de table, six pack ciucas;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
170;Food;FERRERO ROMANIA S.R.L;Kinder;",,KINDER - Multumesc, mama!""";01.02.2021;08.03.2021;36;2;",,KINDER - Multumesc, mama!""";Sa achizitione minim un produs participant;Buy & send;Formular contact;73.038;voucher de vacanta ;Nu;Da;Nu;Nu;Nu;Da;Nu;Da;Nu;Da;Nu;Nu;Nu;;
171;Food;Danone ? Productie si Distributie de Produse Alimentare S.R.L.;Danone;“GATESTE CEVA BUN PENTRU CEI DRAGI”;15.02.2021;04.04.2021;47;3;“GATESTE CEVA BUN PENTRU CEI DRAGI”;sa achizitioneze Produse Participante, in valoare de minimum 5 lei pe acelasi document fiscal;Buy & send;Formular contact;7500;Voucher, Multicooker;Nu;Nu;Nu;Da;Da;Nu;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
172;Food;MULLER DAIRY RO S.R.L;Muller;De cate ori Muller, de atatea ori Premii!;01.02.2021;01.04.2021;60;3;De cate ori Muller, de atatea ori Premii!;Persoana care se inscrie achizitioneaza pe durata Campaniei oricare minimum doua (2) Produse Participante sau un (1) MPK cu Produse Participante;Buy & send;Bon fiscal+ Formular de contact;118,929.79;Scuter modern (cu carte RAR inclusa), Camera foto Instant, Casti wireless Skullcandy, Boxa inteligenta Google Home mini, Bratara fitness personalizata, Cana personalizata, Baterie portabila personalizata, Ochelari de soare cu wi-fi si boxa incorporata, Voucher eMAG, valoare 300 RON, Abonament Netflix pentru 1 an de zile.;Nu;Nu;Nu;Da;Da;Da;Da;Da;Nu;Da;Nu;Nu;Nu;;
173;Entertainment;S.C NYX CROSS GRAFIX S.R.L;Colloseum Retail;„100 pove?ti iubire”;12.02.2021;14.02.2021;2;1;„100 pove?ti iubire”;Scrii o declara?ie de dragoste pe care o înscrii pe www.thecolloseum.ro;Buy;Formular contact;5532;Pizza, vin, Bomboane;Nu;Nu;Da;Nu;Nu;Nu;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
174;Food;S.C. HIPP ROMÂNIA S.R.L;Hipp;“Portret de familie”;01.01.2021;31.03.2021;90;3;“Portret de familie”;fiecare persoan? trebuie s? fie membru HiPP Baby Club ?i s? completeze în mod corect ?i complet formularul de înscriere;Buy;Formular contact;300;personal;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
175;Food;S.C. MACROMEX S.R.L.;Edenia;Ce-ar merge o pizza cu super premii! ;08.02.2021;07.04.2021;58;3;Ce-ar merge o pizza cu super premii! ;participantul trebuie sa achizitioneze minim un produs participant;Buy;Formular contact;23,499.95;I-phone 12;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
176;Food;S.C. MERCURY360 COMMUNICATIONS S.R.L;Eti;“Indrazneste sa te bucuri de cele mai noi “gadget-uri ” cu Dare!”;03.02.2021;03.03.2021;28;1;“Indrazneste sa te bucuri de cele mai noi “gadget-uri ” cu Dare!”; Sa achizitioneze in perioada campaniei oricare produs participant (napolitana glazurata, napolitana neglazurata, tablete de ciocolata), apartinand brandului Dare, in valoare cumulata de minimum 10 lei,;Buy;Formular contact;4199.79;Casti audio in ear, Incarcator Wireless , TV LG 108 cm;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
177;Food;S.C. MERCURY360 COMMUNICATIONS S.R.L;Adicto;“Luna aceasta iti este imposibil sa rezisti iubirii cu Adicto!”;17.02.2021;10.03.2021;21;1;“Luna aceasta iti este imposibil sa rezisti iubirii cu Adicto!”;Sa achizitioneze in perioada campaniei oricare produs participant, apartinand brandului Adicto, in valoare cumulata de minimum 5 lei,;Buy;Formular contact;4249.85;Bratara fitness Xiaomi Mi Band 5, Voucher Emag;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
178;Food;NESTLÉ ROMÂNIA S.R.L.;Nestle;Incepe primavara cu martisoare pentru toata familia!;01.02.2021;15.03.2021;43;2;Incepe primavara cu martisoare pentru toata familia!;Sa achizitioneze produse de minim 90 de lei ;Buy;Bon fiscal;30,000;premii in bani;Nu;Nu;Nu;Nu;Nu;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
179;Food;Mondelez Romania S.A.;Milka;"""Tandretea are gust mai bun""";01.03.2021;28.03.2021;28;1;"""Tandretea are gust mai bun""";Participantul trebuie sa achizitioneze produse participante de minimum 14 lei ;Buy & send;Bon fiscal+ Formular de contact;255,694.11;Boxa IP67 JBL Clip 4, Lenovo Yoga Smart Tab, Octa-Core, Telefon Samsung Galaxy Z Fold2;Nu;Nu;Nu;Nu;Da;Da;Da;Da;Nu;Da;Nu;Nu;Nu;;
180;Retail;e LIDL DISCOUNT S.R.L;Lidl;“Castiga timp cu Chef Select”;04.03.2021;28.03.2021;24;1;“Castiga timp cu Chef Select”;Participantul trebuie sa achizitioneze in Perioada Campaniei produse din magazinele LIDL de pe teritoriul Romaniei, cu exceptia produselor pentru care legislatia nu permite promovarea – ex: tigari (denumite in continuare “Magazine Participante”), in valoare totala, inregistrata pe un singur bon fiscal, de minimum 70 lei;Buy & send;Formular contact;9.083;Masina de spalat vase Whirlpool, Robot de aspirare);Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
181;Food;Kotanyi Condimente S.R.L.;Kotanyi ;Kotanyi iti aduce un plus de savoare cu premii speciale ;01.03.2021;30.04.2021;61;2;Kotanyi iti aduce un plus de savoare cu premii speciale ;Participantul trebuie sa achizitioneze in Perioada Campaniei produse Kotanyi;Buy & send;Formular contact;132578.44;Ma?in? Ford Puma, I Phone 11, Tablet? iPad;Da;Nu;Nu;Nu;Da;Da;Da;Da;Nu;Da;Nu;Nu;Nu;;
182;Drinks;PERNOD RICARD ROMANIA S.R.L;MTB;“Fetele stiu cel mai bine cum sa dea o petrecere”;11.02.2021;09.03.2021;26;2;“Fetele stiu cel mai bine cum sa dea o petrecere”;Participantii trebuie sa achizitioneze, din magazinele participante, cel putin un produs participant mentionat la Sectiunea 6 si sa inregistreze numarul, data si fotografia bonului fiscal care atesta achizitia produsului participant, in perioada cuprinsa intre 11 februarie 2021 ora 00:00, ora Romaniei si 9 martie 2021 ora 23:59:59, ora Romaniei;Buy & send;Formular contact;8000;kit de mixologie;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
183;Drinks;PERNOD RICARD ROMANIA S.R.L;MTB;“There’s no wrong way to host Ballantine’s Day”;03.02.2021;24.02.2021;21;1;“There’s no wrong way to host Ballantine’s Day”;Participantii trebuie sa achizitioneze, din magazinele participante, cel putin un produs participant mentionat la Sectiunea 6 si sa inregistreze numarul, data si fotografia bonului fiscal care atesta achizitia produsului participant, in perioada cuprinsa intre 03 februarie 2021 ora 00:00, ora Romaniei si 24 februarie 2021 ora 23:59:59, ora Romaniei,;Buy & send;Formular contact;17500;Set 2 hanorace Ballantine’s, Set hanorac si geanta sport Ballantine’s;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
184;Drinks;PERNOD RICARD ROMANIA S.R.L;MTB;“Jameson – St. Patrick’s Day”;01.03.2021;31.03.2021;31;1;“Jameson – St. Patrick’s Day”;Participantii trebuie sa achizitioneze, din magazinele participante, cel putin un produs participant mentionat la Sectiunea 6 si sa inregistreze numarul, data si fotografia bonului fiscal care atesta achizitia produsului participant, in perioada cuprinsa intre 01 martie 2021 ora 00:00, ora Romaniei si 31 martie 2021 ora 23:59:59, ora Romaniei;Buy & send;Formular contact;17500;25 premii denumite Set Original Jameson « Ready to go », constand in: 1 set 4 sticle pentru apa + 1 Jacheta 25 premii denumite Set Original Jameson «Comfort Zone», constand in: 1 set pahare + 1 pereche sosete 25 premii denumite Set Original Jameson »Travel Pack », constand in 1 Geanta de voiaj si 1 Flask 25 premii denumite Set Original Jameson « The Whiskey Wizard », constand in 1 Sapca + 1 Cocktail Kit;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
185;Food;FERRERO ROMANIA S.R.L;Tic Tac;„Prospetimea delicata merita premiata!”;15.02.2021;15.04.2021;59;3;„Prospetimea delicata merita premiata!”;Participantii trebuie sa respecte urmatorul mecanism: 4 a) sa achizitioneze, in Perioada Campaniei, unul sau mai multe Produse participante la Campanie, specificate pe acelasi bon fiscal, din orice magazin de pe teritoriul Romaniei care comercializeaza Produse participante.;Buy & send;Formular contact;69,661.84;Telefon mobil Samsung Galaxy Z Fold2, Trotineta electrica, card emag;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
186;Drinks;Quadrant-Amroq Beverages S.R.L;Lipton;„Lipton sticla reciclabila ”;11.02.202;10.03.2021;27;2;„Lipton sticla reciclabila ”;Participantii trebuie sa achizitioneze oricare 2(doua) Produse participante la Campanie, pe acelasi document fiscal;Buy & send;Bon fiscal+ Formular de contact;16,499.99;Trotineta electrica;Nu;Nu;Nu;Nu;Nu;Nu;Da;Da;Nu;Nu;Nu;Nu;Nu;;
187;Autoturism;Michelin Romania SA;Michelin;“CONDUCI IN SIGURANTA, CASTIGI CU SIGURANTA”;15.03.2021;30.04.2021;46;2;“CONDUCI IN SIGURANTA, CASTIGI CU SIGURANTA”;Participan?ii trebuie s? achizi?ioneze un produs participant;Buy & send;Formular contact;14,350;Voucher Emag, Trotinet? electric?;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
188;Drinks;S.C. Tchibo Brands S.R.L;Tchibo;Cum este #cafeauapromisa preparata de tine?;27.03.2021;05.06.2021;70;4;Cum este #cafeauapromisa preparata de tine?;Trebuie s? prepare o re?et? nou? de cafea;;Formular contact;39,370;Kituri Tchibo, Voucher Emag;Nu;Nu;Nu;Nu;Da;Nu;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
189;Autoturism;Iveco România SRL;Iveco;Reînoie?te-?i stilul!;22.03.2021;30.06.2021;95;4;Reînoie?te-?i stilul!;Sa achizitioneze produse de minim 900 de lei;Buy;Formular contact;40,946.95;Scuter model Vespa, Voucher Emag in valoare de 500 EUR;Nu;Nu;Nu;Nu;Da;Nu;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
190;Cleaning;SC Essity Romania SRL;Zewa;Descoper? o lume in plina miscare cu premiile Zewa!;01.02.2021;31.03.2021;59;2;Descoper? o lume in plina miscare cu premiile Zewa!;Sa achizitioneze produse de minim 20 de lei;Buy & send;Bon fiscal+ Formular de contact;168,351;Autoturism BMW, Telefon Iphone 12, ;Da;Nu;Nu;Nu;Da;Nu;Da;Da;Nu;Nu;Nu;Nu;Nu;;
191;Cleaning;SC TZMO ROMANIA SRL;Bella;“O primavara frumoasa incepe cu premiile Bella!”;05.03.2021;25.03.2021;25;1;“O primavara frumoasa incepe cu premiile Bella!”;Participantul trebuie sa achizitioneze minim un produs Bella Perfecta participante la Campanie;Buy & send;Bon fiscal+ Formular de contact;5,070;Set parfum, Set cercei din argint, Kit bella;Nu;Nu;Nu;Nu;Da;Nu;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
192;Food;Republica BIO S.R.L;Republica Bio;“DUBLU CÂ?TIG?TOR CU MICUL DEJUN HR?NITOR”;16.03.2021;16.05.2021;61;2;“DUBLU CÂ?TIG?TOR CU MICUL DEJUN HR?NITOR”;S? achizi?ioneze din magazinul www.republicabio.ro, în cadrul aceleia?i comenzi, cel pu?in doua produse participante la campanie;Buy & send;Bon fiscal+ Formular de contact;4.985;Boluri de portelan, set bio chef, trotineta electrica;Nu;Nu;Nu;Nu;Da;Nu;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
193;Food;Nordic Import Export CO SRL;Cirio;Alege provocarea. G?te?te italiene?te!;15.03.2021;15.05.2021;60;2;Alege provocarea. G?te?te italiene?te!;S? achizi?ioneze minim un produs Cirio;Buy & send;Bon fiscal+ Formular de contact;72,578;Produse Cirio, Voucher Hobby Chef, Fiat 500;Da;Nu;Nu;Nu;Da;Nu;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
194;Autoturism;Agentia Advanced Ideas Studio S.R.L;Castrol;"""Alege CASTROL Magnatec cu dublu efect: Protejeaza motorul si Atrage premiile.""";01.03.2021;31.05.2021;92;3;"""Alege CASTROL Magnatec cu dublu efect: Protejeaza motorul si Atrage premiile.""";"Participantul trebuie sa achizitioneze cel putin un Produs Participant, in perioada Campaniei si sa poata face dovada de achizitie;";Buy & send;Formular contact;233.713;Ford Puma, E Scooter, Voucher ulei Castrol, o experienta auto la academia Titi Aur;Da;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
195;Retail;LIDL DISCOUNT S.R.L;Lidl;“Bio cu tine”;29.03.2021;06.04.2021;8;2;“Bio cu tine”;"a) Participantul trebuie sa achizitioneze, in Perioada Campaniei, produse din magazinele LIDL de pe teritoriul Romaniei, in valoare totala, inregistrata pe un singur bon fiscal, de minimum 70 lei cu TVA inclus, dintre care minimum un produs BIO, marca proprie LIDL (“Produse participante”). Nu participa in Campanie produsele pentru care legislatia nu permite promovarea acestora– ex: tigari. b) Participantul alege unul dintre cele 4 produse Bio afisate in platforma surprize.lidl.ro/biocutine in modulul de concurs “Castiga cu Lidl” pentru a descoperi ce mesaj se ascunde sub produsul afisat; acesta avand posibilitatea de a efectua maxim 3 incercari, pentru aceeasi inscriere.";Buy & send;Formular contact;1,276.90;“Blender Electrolux Creative Collection;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
196;Drinks;BERGENBIER S.A;BERGENBIER;"""Castiga un kit de lansator pe zi si bere pentru prieteni!""";01.04.2021;30.05.2021;60;2;"""Castiga un kit de lansator pe zi si bere pentru prieteni!""";Orice consumator care achizitioneaza produse Bergenbier din cele mentionate la sectiunea 4.1.1 in vederea inscrierii la prezenta Campanie, va descoperi codurile unice sub capacele/cheitele acestora, coduri ce poti fi inscrise in perioada 1 Aprilie 2021, ora 00:00 - 30 Mai 2021, ora 23:59 (inclusiv) pe site-ului www.bergenbier.ro/lansare sau prin SMS la numarul 1870;Buy & send;Bon fiscal+ Formular de contact;125.70;"un bax
de bere Bergenbier compus din 24 de doze de bere la gramajul de 0,5L, un frigider Klarstein PopArt retro Blue,
un tricou personalizat Bergenbier si un set cu 6 pahare personalizate Bergenbier";Nu;Nu;Nu;Nu;Nu;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
